scenario,n_old,seed,repeat,features,shrink,touch,q_touch,edges_updated,edges_total,delta_error,weight_error,symmetry_error,batch_delta_error,batch_weight_error,correctness_pass,inc_delta_ms,inc_bookkeeping_ms,inc_w_ms,inc_total_ms,batch_bookkeeping_ms,batch_delta_ms,batch_w_ms,batch_total_ms,input_payload_bytes
star_leaf,256,3,3,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.024292,0.086291,0.014792,0.125375,0.060333,0.165583,0.158917,0.384833,40442
star_leaf,256,3,4,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.019375,0.055625,0.014292,0.089292,0.084791,0.16475,0.13375,0.383291,40442
star_hub,256,3,0,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.022958,0.061417,0.7655,0.849875,0.075458,0.203959,0.170916,0.450333,40442
star_hub,256,3,1,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.043041,0.1125,0.670917,0.826458,0.074583,0.189,0.164625,0.428208,40442
star_hub,256,3,2,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.021208,0.05825,0.631375,0.710833,0.071,0.170417,0.135292,0.376709,40442
star_hub,256,3,3,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.021584,0.064833,0.62975,0.716167,0.06075,0.182208,0.138292,0.38125,40442
star_hub,256,3,4,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.021458,0.056417,0.677666,0.755541,0.075084,0.173375,0.137,0.385459,40442
ring_control,256,4,0,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.019875,0.058208,0.017792,0.095875,0.061417,0.161708,0.158625,0.38175,40452
ring_control,256,4,1,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.020084,0.067791,0.02025,0.108125,0.078542,0.16975,0.140208,0.3885,40452
ring_control,256,4,2,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.027791,0.080334,0.0175,0.125625,0.060334,0.202041,0.148125,0.4105,40452
ring_control,256,4,3,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.022916,0.066167,0.025833,0.114916,0.092625,0.179334,0.143333,0.415292,40452
ring_control,256,4,4,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021542,0.0615,0.017292,0.100334,0.059333,0.174959,0.152916,0.387208,40452
ring_enemy,256,4,0,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.021583,0.05775,0.77,0.849333,0.061584,0.162625,0.150083,0.374292,40452
ring_enemy,256,4,1,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.028125,0.062917,0.771,0.862042,0.088791,0.1815,0.150292,0.420583,40452
ring_enemy,256,4,2,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.023458,0.065125,0.847459,0.936042,0.082917,0.178166,0.14075,0.401833,40452
ring_enemy,256,4,3,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.022833,0.057209,0.770333,0.850375,0.078625,0.1655,0.137708,0.381833,40452
ring_enemy,256,4,4,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.020916,0.060167,0.807875,0.888958,0.06275,0.167791,0.151625,0.382166,40452
star_leaf,256,4,0,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.018,0.056542,0.014208,0.08875,0.058625,0.158667,0.12975,0.347042,40442
star_leaf,256,4,1,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.027208,0.059667,0.021125,0.108,0.080917,0.181291,0.148584,0.410792,40442
star_leaf,256,4,2,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021167,0.062625,0.01525,0.099042,0.076042,0.167125,0.150166,0.393333,40442
star_leaf,256,4,3,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.023625,0.06475,0.029583,0.117958,0.071959,0.217583,0.165458,0.455,40442
star_leaf,256,4,4,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.023959,0.06825,0.01575,0.107959,0.061792,0.178375,0.131833,0.372,40442
star_hub,256,4,0,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.018041,0.056042,0.642583,0.716666,0.060959,0.160875,0.137,0.358834,40442
star_hub,256,4,1,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.017791,0.056667,0.659125,0.733583,0.071542,0.177208,0.129834,0.378584,40442
star_hub,256,4,2,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.032375,0.095209,0.657,0.784584,0.061458,0.174209,0.129166,0.364833,40442
star_hub,256,4,3,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.020792,0.056416,0.628917,0.706125,0.06475,0.168417,0.141833,0.375,40442
star_hub,256,4,4,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.029792,0.065833,0.664209,0.759834,0.073125,0.198,0.137917,0.409042,40442
ring_control,1024,0,0,16,0,2,4,3,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.046875,0.076875,0.031708,0.155458,0.068,2.860417,0.5105,3.438917,161796
ring_control,1024,0,1,16,0,2,4,3,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.052541,0.099417,0.026917,0.178875,0.10825,2.859208,0.546833,3.514291,161796
ring_control,1024,0,2,16,0,2,4,3,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.048,0.0825,0.021583,0.152083,0.083584,2.854208,0.612917,3.550709,161796
ring_control,1024,0,3,16,0,2,4,3,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.063458,0.082667,0.028041,0.174166,0.1095,2.860375,0.540583,3.510458,161796
ring_control,1024,0,4,16,0,2,4,3,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.051875,0.092709,0.024125,0.168709,0.072709,2.777,0.53225,3.381959,161796
